Filename,nwords,nsentences,nparagraphs
Form1-20073001-Item2.txt,64,7,4
Filename,nwords,nsentences,nparagraphs
5.txt,182,10,1
Filename,nwords,nsentences,nparagraphs
4.txt,152,8,1
Filename,nwords,nsentences,nparagraphs
Form1-20073002-Item2.txt,349,17,6
Filename,nwords,nsentences,nparagraphs
6.txt,149,7,1
Filename,nwords,nsentences,nparagraphs
3.txt,110,13,1
Filename,nwords,nsentences,nparagraphs
Form1-20073004-Item2.txt,268,12,3
Filename,nwords,nsentences,nparagraphs
2.txt,118,11,5
Filename,nwords,nsentences,nparagraphs
1.txt,126,15,1
Filename,nwords,nsentences,nparagraphs
Form1-20073003-Item2.txt,241,6,1
Filename,nwords,nsentences,nparagraphs
copula_locative.txt,14,3,3
Filename,nwords,nsentences,nparagraphs
Form1-20073005-Item2.txt,296,19,5
