Filename,nwords,nsentences,nparagraphs,nlemmas,nlemma_types,ncontent_words,ncontent_types,nfunction_words,n_nouns,n_noun_types,n_verbs,n_verb_types,n_adjs,n_adj_types,n_advs,n_adv_types,n_prps,n_prp_types,n_arguments,n_argument_types,n_bigram_lemmas,n_bigram_lemma_types,n_trigram_lemmas,n_trigram_lemma_types
Form1-20073001-Item2.txt,64,7,4,64,43,26,24,38,12,12,8,7,5,5,1,1,14,6,23,16,63,61,62,62
5.txt,182,10,1,182,77,73,50,109,27,17,27,21,6,4,14,9,41,7,66,22,181,156,180,170
4.txt,152,8,1,152,92,82,63,70,33,26,21,17,13,9,15,12,15,6,42,30,151,147,150,150
Form1-20073002-Item2.txt,349,17,6,349,144,186,104,163,81,49,58,30,30,17,18,12,41,7,118,54,348,274,347,313
6.txt,149,7,1,149,84,69,52,80,37,29,17,11,8,7,8,6,25,8,57,35,148,139,147,146
3.txt,110,13,1,110,58,55,39,55,34,25,12,7,6,5,4,3,18,7,52,32,109,91,108,104
Form1-20073004-Item2.txt,268,12,3,268,95,121,63,147,38,21,49,24,17,9,19,11,49,7,86,27,267,187,266,226
2.txt,118,11,5,118,70,66,46,52,32,20,17,14,9,7,8,5,17,7,47,25,117,105,116,112
1.txt,126,15,1,126,57,54,32,72,12,9,19,12,4,3,20,9,28,7,37,15,125,106,124,119
Form1-20073003-Item2.txt,241,6,1,241,119,116,88,125,68,52,23,17,22,18,4,4,17,10,80,59,240,210,239,234
copula_locative.txt,14,3,3,14,10,3,3,11,3,3,0,0,0,0,0,0,3,3,6,6,13,12,12,12
Form1-20073005-Item2.txt,296,19,5,296,141,140,95,156,51,33,43,33,26,14,23,21,46,13,90,43,295,264,294,289
